x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,FRE_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,FRE_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FRE_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
-123.32500472222222,48.4130725,113,VICTORIA GONZALES HTS,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,482447061,-1231930017,PST,69.50,1018610,WLM,,N/A,D,1,5,,,,,1898-01-01 00:00:00,2004-11-30 00:00:00,1953-01-01 00:00:00,2000-03-14 07:00:00,1898-08-01 00:00:00,2004-11-30 00:00:00,1898-01-01 00:00:00,2004-11-01 00:00:00,Y,N,Y
-123.32477555555556,48.41330444444444,114,VICTORIA GONZALES CS,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,482447896,-1231929192,PST,61.00,1018611,WLM,71200,Climate-Auto,G,1,9,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1972-01-01 00:00:00,2024-11-26 12:30:01,1994-02-01 00:00:00,2024-11-26 12:30:01,1973-01-01 00:00:00,2024-11-26 00:00:00,1972-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y
-123.42583333333333,48.647225,118,VICTORIA INT'L A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483850010,-1232533000,PST,19.50,1018620,YYJ,71799,Aviation-Staffed,A,1,1,,,,,1940-01-01 00:00:00,2013-07-11 10:00:00,1953-01-01 00:00:00,2013-07-11 10:00:00,1940-07-01 00:00:00,2013-07-10 00:00:00,1940-01-01 00:00:00,2013-07-01 00:00:00,Y,Y,Y
-126.93333333333334,50.583333333333336,137,ALERT BAY,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,503500000,-1265600000,PST,59.40,1020270,,,N/A,C,1,4,,,,,1913-01-01 00:00:00,2006-12-05 00:00:00,1954-01-01 07:00:00,1994-02-21 10:00:00,1913-12-01 00:00:00,2006-12-05 00:00:00,1913-01-01 00:00:00,1994-12-01 00:00:00,Y,N,Y
-125.27305555555556,49.95194444444444,145,CAMPBELL RIVER A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,495707000,-1251623000,PST,108.80,1021261,YBL,,Aviation-Staffed,A,1,1,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1965-01-01 00:00:00,2024-11-24 00:00:00,1979-03-01 06:00:00,2013-06-13 10:00:00,1965-01-01 00:00:00,2024-11-24 00:00:00,1965-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-124.9,49.71666666666667,155,COMOX A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,494300000,-1245400000,PST,25.60,1021830,YQQ,71893,N/A,A,1,1,DND,MDN,Department of National Defence,Ministère de la Défense nationale,1944-01-01 00:00:00,2024-11-26 12:30:01,1953-01-01 00:00:00,2024-11-26 12:30:01,1944-07-01 00:00:00,2024-11-26 00:00:00,1944-01-01 00:00:00,2017-12-01 00:00:00,Y,Y,Y
-123.87,49.05444444444444,192,NANAIMO A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,490316000,-1235212000,PST,28.00,1025370,YCD,,Aviation-Staffed,A,1,1,,,,,1947-01-01 00:00:00,2016-06-01 00:00:00,1954-01-01 00:00:00,2013-05-16 10:00:00,1947-03-01 00:00:00,2016-06-01 00:00:00,1947-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-127.36611111111111,50.680277777777775,202,PORT HARDY A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,504049000,-1272158000,PST,21.60,1026270,YZT,71109,Aviation-Staffed,A,1,1,,,,,1944-01-01 00:00:00,2013-06-13 10:00:00,1953-01-01 00:00:00,2013-06-13 10:00:00,1944-02-01 00:00:00,2013-06-12 00:00:00,1944-01-01 00:00:00,2013-06-01 00:00:00,Y,Y,Y
-127.95,50.916666666666664,234,BULL HARBOUR,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,505500000,-1275700000,PST,13.70,1031110,,,N/A,D,1,5,,,,,1921-01-01 00:00:00,1988-12-31 22:00:00,1953-01-01 04:00:00,1988-12-31 22:00:00,1921-07-01 00:00:00,1988-12-31 00:00:00,1921-01-01 00:00:00,1988-12-01 00:00:00,Y,N,Y
-128.42722777777777,50.78223333333333,237,CAPE SCOTT,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,504656040,-1282538020,PST,71.60,1031353,WES,,Climate-Staffed,A,1,1,CCG,GCC,Canadian Coast Guard,Garde côtière canadienne,1965-01-01 00:00:00,2024-11-25 00:00:00,1966-06-01 04:00:00,2001-12-13 16:00:00,1965-12-01 00:00:00,2024-11-25 00:00:00,1965-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-126.54310916666667,49.38330944444444,244,ESTEVAN POINT,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,492259914,-1263235193,PST,5.80,1032730,,,Climate-Staffed,A,1,1,CCG,GCC,Canadian Coast Guard,Garde côtière canadienne,1908-01-01 00:00:00,2024-11-25 00:00:00,1953-01-01 04:00:00,1979-03-30 16:00:00,1908-07-01 00:00:00,2024-11-25 00:00:00,1908-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-124.83333333333333,49.25,264,PORT ALBERNI A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,491500000,-1245000000,PST,2.40,1036206,,,N/A,C,1,4,,,,,1969-01-01 00:00:00,1996-10-31 00:00:00,1969-11-01 07:00:00,1995-03-31 07:00:00,1969-11-01 00:00:00,1996-10-31 00:00:00,1969-01-01 00:00:00,1996-10-01 00:00:00,Y,N,Y
-125.77250555555555,49.08222222222222,277,TOFINO A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,490456000,-1254621020,PST,24.50,1038205,YAZ,,Aviation-Staffed,A,1,1,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1942-01-01 00:00:00,2023-06-24 00:00:00,1960-01-01 00:00:00,2014-05-01 10:00:00,1942-07-01 00:00:00,2023-06-24 00:00:00,1942-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-124.50027777777778,49.83416944444444,327,POWELL RIVER A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,495003010,-1243001000,PST,129.50,1046391,YPW,,Aviation-Staffed,C,1,4,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1954-01-01 00:00:00,2024-11-25 00:00:00,1982-03-23 10:00:00,2013-12-12 10:00:00,1954-01-01 00:00:00,2024-11-25 00:00:00,1954-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-123.16119444444445,49.783208333333334,336,SQUAMISH AIRPORT,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,494659550,-1230940300,PST,53.70,10476F0,WSK,71207,Climate-Auto,F,1,7,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1982-01-01 00:00:00,2024-11-26 12:30:01,1982-05-17 15:00:00,2024-11-26 12:30:01,1982-05-01 00:00:00,2024-11-26 00:00:00,1982-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y
-122.95483333333334,50.12888916666667,348,WHISTLER,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,500744001,-1225717400,PST,657.80,1048898,WAE,,Aviation-Staffed,C,1,4,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1976-01-01 00:00:00,2024-10-05 00:00:00,1983-01-01 07:00:00,2014-05-01 09:00:00,1976-11-01 00:00:00,2024-10-05 00:00:00,1976-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-131.01666666666668,51.93333333333333,352,CAPE ST JAMES,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,515600000,-1310100000,PST,92.00,1051350,,,Climate-Auto,C,1,4,,,,,1925-01-01 00:00:00,1998-04-30 00:00:00,1953-01-01 04:00:00,1992-08-31 23:00:00,1925-08-01 00:00:00,1998-04-30 00:00:00,1925-01-01 00:00:00,1998-04-01 00:00:00,Y,N,Y
-133.05799972222223,54.25518,358,LANGARA,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,541518648,-1330328799,PST,42.70,1054500,WLA,71899,Climate-Staffed,A,1,1,CCG,GCC,Canadian Coast Guard,Garde côtière canadienne,1936-01-01 00:00:00,2024-11-25 00:00:00,1954-01-01 01:00:00,2001-12-13 13:00:00,1936-07-01 00:00:00,2024-11-25 00:00:00,1936-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
